var,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,subject
19,0.45269,0.42488000000000004,0.5566300000000001,0.43572,0.51477,0.51302,0.44965,0.60893,0.44131000000000004,0.41697,0.66787,0.55824,0.51297,0.41048999999999997,0.51285,0.46586000000000005,0.34467,0.36382,0.51937,0.49612,1
20,0.4602,0.42023999999999995,0.56787,0.45753999999999995,0.51249,0.51441,0.44909,0.6371,0.49143000000000003,0.41267,0.68418,0.58723,0.52769,0.42531,0.49941,0.46201000000000003,0.34297,0.35858,0.49495,0.48696999999999996,1
21,0.46392,0.41398,0.57144,0.47376999999999997,0.5171100000000001,0.51022,0.44368,0.64431,0.56172,0.40926999999999997,0.69682,0.59955,0.5397,0.44233999999999996,0.48222,0.45866,0.34192,0.35831999999999997,0.48096000000000005,0.46945,1
22,0.46103999999999995,0.40375,0.57938,0.48671000000000003,0.5244,0.50451,0.44323999999999997,0.63954,0.59192,0.40978000000000003,0.7013699999999999,0.59941,0.55497,0.45641000000000004,0.45826999999999996,0.45705,0.3388,0.36511,0.4819,0.4394,1
23,0.45578,0.39361999999999997,0.5896100000000001,0.50078,0.5309699999999999,0.49871000000000004,0.45416000000000006,0.6326,0.60346,0.41163,0.7028,0.59872,0.5656899999999999,0.4653,0.4296,0.4588,0.33462,0.37359000000000003,0.49563,0.41828000000000004,1
24,0.4502,0.38364000000000004,0.5978,0.51653,0.53714,0.49506000000000006,0.46956000000000003,0.6159399999999999,0.60693,0.41297,0.70052,0.58767,0.5767800000000001,0.46938,0.40201,0.46121,0.33043,0.38090999999999997,0.51537,0.43146,1
25,0.44204,0.3747,0.60393,0.5333,0.54502,0.48986,0.48444,0.58733,0.61516,0.41845,0.69567,0.5773199999999999,0.5865,0.46833,0.37559000000000003,0.46308999999999995,0.32823,0.38806999999999997,0.5343899999999999,0.46737,1
26,0.42743000000000003,0.36541999999999997,0.61232,0.54422,0.5525899999999999,0.48228999999999994,0.49145,0.5615100000000001,0.63955,0.43013999999999997,0.68842,0.5691,0.59411,0.46798,0.35489,0.46233,0.32679,0.39384,0.5503100000000001,0.5001,1
27,0.41368999999999995,0.35624,0.62175,0.5486800000000001,0.55953,0.48288000000000003,0.48331,0.55023,0.67194,0.44592,0.6853199999999999,0.56185,0.5954,0.46374,0.34263000000000005,0.45795,0.33105999999999997,0.39849,0.56181,0.52156,1
28,0.40048,0.35031,0.63344,0.55311,0.563,0.48738000000000004,0.47707,0.52327,0.71337,0.47143,0.68803,0.55429,0.59272,0.46392,0.33697,0.45241000000000003,0.34034000000000003,0.40118000000000004,0.56748,0.52533,1
29,0.3889,0.3441,0.64489,0.55945,0.56394,0.48693000000000003,0.46908,0.48317,0.75935,0.5008199999999999,0.6857800000000001,0.5528,0.59034,0.46001000000000003,0.33715,0.44908000000000003,0.35397,0.40375,0.5616399999999999,0.52461,1
30,0.38332,0.34283,0.65578,0.56808,0.56887,0.48928999999999995,0.45674,0.45432,0.79133,0.5249699999999999,0.6853,0.54669,0.58962,0.45402,0.34201,0.44921000000000005,0.3687,0.40786,0.55552,0.52772,1
31,0.3817,0.34804,0.6665399999999999,0.57699,0.5737300000000001,0.49301000000000006,0.45308000000000004,0.43775,0.79608,0.54877,0.68166,0.54675,0.59348,0.45014,0.35268,0.4492,0.38001999999999997,0.41111000000000003,0.54876,0.5232100000000001,1
32,0.38432,0.35495,0.67765,0.58512,0.57927,0.49941,0.45937,0.43138999999999994,0.78486,0.56184,0.67291,0.53955,0.59928,0.44493999999999995,0.36580999999999997,0.45273,0.39243,0.41445,0.54096,0.51662,1
33,0.39094,0.36214,0.68495,0.59219,0.58645,0.50958,0.46958,0.44848999999999994,0.76251,0.5719,0.6637,0.5188699999999999,0.60637,0.44503000000000004,0.37939,0.46428,0.40842,0.4207,0.52891,0.51456,1
34,0.40271999999999997,0.36698000000000003,0.68929,0.60011,0.5927100000000001,0.51957,0.48577,0.45518000000000003,0.7471300000000001,0.58457,0.65623,0.50653,0.62038,0.45181000000000004,0.38958000000000004,0.48047,0.42908999999999997,0.43033999999999994,0.51915,0.51412,1
35,0.41326999999999997,0.37301,0.6894,0.6029899999999999,0.60021,0.52987,0.5109899999999999,0.47201000000000004,0.7508600000000001,0.60141,0.65075,0.49954,0.6342800000000001,0.46775,0.39418000000000003,0.49804,0.45193999999999995,0.4408,0.51135,0.5061899999999999,1
36,0.4205,0.37776,0.68848,0.5997600000000001,0.60595,0.54304,0.5421699999999999,0.51372,0.75693,0.6187600000000001,0.6389199999999999,0.50066,0.64261,0.48799,0.39804,0.51484,0.47434,0.45165,0.50461,0.49846999999999997,1
37,0.42483999999999994,0.37940999999999997,0.68876,0.59512,0.61222,0.5563100000000001,0.57362,0.53876,0.75985,0.63884,0.6302300000000001,0.52276,0.64874,0.5045,0.40405,0.53283,0.5012,0.45737,0.49696999999999997,0.4985,1
38,0.42391999999999996,0.37756,0.6897300000000001,0.5933,0.62038,0.56675,0.59747,0.53885,0.7602800000000001,0.6633399999999999,0.62797,0.5476300000000001,0.6462,0.51823,0.41071,0.5492199999999999,0.5291600000000001,0.46345,0.49165,0.50808,1
39,0.41802,0.37264,0.6906100000000001,0.59172,0.63681,0.5737399999999999,0.60953,0.53606,0.7606,0.68855,0.62483,0.56881,0.6383,0.52542,0.41578999999999994,0.56085,0.5547,0.46929,0.48946000000000006,0.51849,1
40,0.41297,0.36672,0.6925899999999999,0.5884699999999999,0.65713,0.57933,0.6077600000000001,0.5173,0.76639,0.71023,0.62332,0.57448,0.6319,0.52642,0.41657,0.5705100000000001,0.57276,0.47753,0.4903,0.52068,1
41,0.40694,0.36034,0.6954600000000001,0.58306,0.6762100000000001,0.58496,0.59968,0.50834,0.77568,0.72912,0.6198,0.57727,0.62402,0.52788,0.41443,0.5794600000000001,0.58755,0.48796000000000006,0.48903,0.5134,1
42,0.4007,0.35867,0.69507,0.5724600000000001,0.68893,0.58762,0.5906899999999999,0.51347,0.78933,0.74431,0.61411,0.5754,0.61907,0.5267,0.40911,0.5888800000000001,0.59692,0.49973999999999996,0.48728,0.49383999999999995,1
43,0.39716999999999997,0.36196,0.68821,0.55984,0.6964199999999999,0.58908,0.57939,0.53074,0.8209,0.75295,0.60763,0.57018,0.6157199999999999,0.5209199999999999,0.40191,0.59555,0.60293,0.50974,0.48702,0.46801000000000004,1
44,0.39576,0.36563,0.67372,0.544,0.70098,0.58912,0.57486,0.53413,0.84451,0.75276,0.60177,0.56596,0.60765,0.51923,0.39114,0.5986,0.60245,0.52057,0.48978999999999995,0.44908000000000003,1
45,0.3945,0.36754000000000003,0.65508,0.52553,0.70299,0.58887,0.56504,0.51874,0.86915,0.74741,0.59504,0.55883,0.59722,0.52558,0.37998000000000004,0.6026,0.59856,0.5293899999999999,0.49359,0.4371,1
46,0.3983,0.37233,0.6343300000000001,0.51122,0.70499,0.58808,0.56507,0.5374399999999999,0.86755,0.74411,0.5784100000000001,0.55286,0.5941,0.54193,0.36956,0.6068899999999999,0.59801,0.53591,0.49846999999999997,0.44154,1
47,0.40667,0.37979,0.6159899999999999,0.50113,0.70605,0.5874199999999999,0.56182,0.5399,0.8612799999999999,0.7437,0.55795,0.55453,0.5995699999999999,0.56479,0.36274,0.60935,0.59687,0.5385300000000001,0.5032800000000001,0.45851000000000003,1
