AD,nodeID,subjectID,tractID,MD,RD_Avg,MD_Avg,RD,AD_Avg,FA_Avg,FA
0.00114243,19,elmo.2012,rh.cab_PP,0.000632704,0.000452461,0.000653685,0.000377844,0.00105615,0.518826,0.6094229999999999
0.00117239,20,elmo.2012,rh.cab_PP,0.000636422,0.0005103390000000001,0.000713257,0.000368436,0.00111911,0.48131499999999994,0.630812
0.00122785,21,elmo.2012,rh.cab_PP,0.0007439580000000001,0.000581107,0.000773865,0.0005020140000000001,0.00115938,0.42857,0.525806
0.0012343,22,elmo.2012,rh.cab_PP,0.00082951,0.000632131,0.000817515,0.000627117,0.00118828,0.39405100000000004,0.40808
0.00127499,23,elmo.2012,rh.cab_PP,0.000843707,0.0006601360000000001,0.0008487210000000001,0.000628065,0.0012259,0.389544,0.43168900000000004
0.00134825,24,elmo.2012,rh.cab_PP,0.000831277,0.00068154,0.0008741469999999999,0.000572793,0.00125937,0.389819,0.524388
0.00129494,25,elmo.2012,rh.cab_PP,0.0007056219999999999,0.00065877,0.000842242,0.000410964,0.0012092000000000001,0.387867,0.642238
0.00109023,26,elmo.2012,rh.cab_PP,0.000524655,0.000595025,0.000768004,0.00024186599999999998,0.00111396,0.412679,0.772935
0.0008406210000000001,27,elmo.2012,rh.cab_PP,0.0003041,0.0005623819999999999,0.000724428,3.58396e-05,0.00104852,0.43346899999999994,0.9799549999999999
0.000986942,28,elmo.2012,rh.cab_PP,0.000592806,0.0005677109999999999,0.000716233,0.00039574,0.00101328,0.43036800000000003,0.68645
0.00106516,29,elmo.2012,rh.cab_PP,0.0007432319999999999,0.0005722230000000001,0.0007083739999999999,0.0005822669999999999,0.00098068,0.419162,0.507436
0.00067781,30,elmo.2012,rh.cab_PP,0.000252946,0.00056093,0.000688484,4.05144e-05,0.000943589,0.41895,0.9650709999999999
0.00115795,31,elmo.2012,rh.cab_PP,0.000885246,0.000662523,0.0007843310000000001,0.000748894,0.00102795,0.326255,0.28365
0.00105913,32,elmo.2012,rh.cab_PP,0.0009093860000000001,0.0007114080000000001,0.0008283769999999999,0.000834515,0.00106232,0.282977,0.14677
,33,elmo.2012,rh.cab_PP,,,,,,,
,34,elmo.2012,rh.cab_PP,,,,,,,
,35,elmo.2012,rh.cab_PP,,,,,,,
,36,elmo.2012,rh.cab_PP,,,,,,,
,0,elmo.2005,lh.ilf_AS,,,,,,,
,1,elmo.2005,lh.ilf_AS,,,,,,,
0.00121619,2,elmo.2005,lh.ilf_AS,0.000803966,0.00060308,0.000786543,0.000597855,0.00115347,0.41336000000000006,0.420092
0.00126336,3,elmo.2005,lh.ilf_AS,0.000781392,0.000583056,0.000772078,0.000540406,0.00115012,0.42944399999999994,0.49016000000000004
0.0012651,4,elmo.2005,lh.ilf_AS,0.000739167,0.0005694130000000001,0.0007634260000000001,0.00047620400000000004,0.00115145,0.44420699999999996,0.552175
0.00125406,5,elmo.2005,lh.ilf_AS,0.00076268,0.000563797,0.000762188,0.000516993,0.00115898,0.45254399999999995,0.512516
0.00119638,6,elmo.2005,lh.ilf_AS,0.00077195,0.000577875,0.000779607,0.000559733,0.00118307,0.449954,0.450028
0.00128565,7,elmo.2005,lh.ilf_AS,0.000888647,0.000576266,0.0007744010000000001,0.000690145,0.00117068,0.44772700000000004,0.384432
0.00124159,8,elmo.2005,lh.ilf_AS,0.000873227,0.00058976,0.000781778,0.000689046,0.00116582,0.43229799999999996,0.379671
0.000942209,9,elmo.2005,lh.ilf_AS,0.000625055,0.000595926,0.0007785689999999999,0.000466479,0.00114384,0.41958100000000004,0.48339099999999996
0.000451566,10,elmo.2005,lh.ilf_AS,0.000127181,0.00054577,0.00072589,-3.50115e-05,0.00108611,0.47370200000000007,0.884083
0.000911765,11,elmo.2005,lh.ilf_AS,0.000479441,0.000498276,0.0006896469999999999,0.00026328,0.00107238,0.49447299999999994,0.7875979999999999
0.00179101,12,elmo.2005,lh.ilf_AS,0.00125566,0.000461947,0.0006640089999999999,0.0009879889999999999,0.00106813,0.4767,0.358925
0.00167377,13,elmo.2005,lh.ilf_AS,0.00116849,0.000459645,0.000672497,0.0009158389999999999,0.00109821,0.506063,0.36643400000000004
0.00155314,14,elmo.2005,lh.ilf_AS,0.0009845519999999999,0.000430802,0.000668638,0.0007002569999999999,0.0011443,0.583493,0.47223000000000004
0.00144945,15,elmo.2005,lh.ilf_AS,0.0008521269999999999,0.00041537599999999996,0.000676403,0.000553466,0.00119845,0.624087,0.5489729999999999
0.00154186,16,elmo.2005,lh.ilf_AS,0.0009086869999999999,0.00039365900000000003,0.000675084,0.0005921009999999999,0.00123794,0.647596,0.545485
0.00170751,17,elmo.2005,lh.ilf_AS,0.000978489,0.00036275300000000006,0.0006705439999999999,0.0006139790000000001,0.00128614,0.652125,0.5715100000000001
0.00184239,18,elmo.2005,lh.ilf_AS,0.00105342,0.000356649,0.000681098,0.000658939,0.00133,0.627721,0.5762550000000001
0.00202207,19,elmo.2005,lh.ilf_AS,0.0012061,0.000374912,0.000710082,0.000798121,0.00138042,0.6279640000000001,0.530993
0.00199267,20,elmo.2005,lh.ilf_AS,0.00120218,0.000390602,0.00072212,0.000806937,0.00138516,0.676659,0.518049
0.00181912,21,elmo.2005,lh.ilf_AS,0.00107627,0.000430315,0.000747005,0.000704847,0.00138038,0.659117,0.54715
0.00176046,22,elmo.2005,lh.ilf_AS,0.000968818,0.000442351,0.00075842,0.000572998,0.00139055,0.633841,0.6195510000000001
0.00177473,23,elmo.2005,lh.ilf_AS,0.0009507119999999999,0.000444145,0.000769223,0.0005387,0.00141938,0.63193,0.644746
0.0018000999999999998,24,elmo.2005,lh.ilf_AS,0.000981407,0.000463731,0.000791448,0.000572059,0.00144689,0.624321,0.625776
0.00166304,25,elmo.2005,lh.ilf_AS,0.000897955,0.000499977,0.000814516,0.000515415,0.00144361,0.596363,0.636785
0.00138471,26,elmo.2005,lh.ilf_AS,0.000784521,0.000552031,0.0008304660000000001,0.000484425,0.00138734,0.53956,0.588094
0.00119744,27,elmo.2005,lh.ilf_AS,0.0007386439999999999,0.0005880190000000001,0.000842205,0.000509248,0.00135057,0.495696,0.49801599999999996
0.00115533,28,elmo.2005,lh.ilf_AS,0.0007293569999999999,0.00058566,0.000845649,0.000516372,0.00136562,0.500421,0.468037
0.00160577,29,elmo.2005,lh.ilf_AS,0.000955295,0.000569995,0.0008474810000000001,0.0006300559999999999,0.00140244,0.526261,0.5266770000000001
0.00155979,30,elmo.2005,lh.ilf_AS,0.00093719,0.000571276,0.000844872,0.000625893,0.00139205,0.522308,0.522014
0.00132592,31,elmo.2005,lh.ilf_AS,0.000848795,0.000604764,0.000848583,0.000610231,0.00133621,0.476484,0.46699399999999996
0.00141734,32,elmo.2005,lh.ilf_AS,0.000883573,0.000613225,0.0008353089999999999,0.000616689,0.00127948,0.455064,0.492381
0.00134751,33,elmo.2005,lh.ilf_AS,0.0008894619999999999,0.000630194,0.00083026,0.000660439,0.00123039,0.424117,0.436284
0.00119899,34,elmo.2005,lh.ilf_AS,0.0008758510000000001,0.000642862,0.0008286439999999999,0.000714282,0.00120021,0.40218400000000004,0.36273
0.001142,35,elmo.2005,lh.ilf_AS,0.0008688519999999999,0.000634215,0.000821887,0.000732278,0.00119723,0.409947,0.36278699999999997
0.00125241,36,elmo.2005,lh.ilf_AS,0.000826847,0.000618508,0.0008154719999999999,0.0006140680000000001,0.0012094,0.416264,0.437125
0.00125657,37,elmo.2005,lh.ilf_AS,0.0008089989999999999,0.0006002469999999999,0.000807717,0.000585214,0.00122266,0.42918999999999996,0.454883
0.00113434,38,elmo.2005,lh.ilf_AS,0.000857248,0.000585062,0.0008009730000000001,0.0007187000000000001,0.00123279,0.446532,0.303384
0.00128797,39,elmo.2005,lh.ilf_AS,0.0008178860000000001,0.000576362,0.000783342,0.000582844,0.0011972999999999999,0.44189700000000004,0.465683
0.00127784,40,elmo.2005,lh.ilf_AS,0.0008109069999999999,0.000575889,0.0007745180000000001,0.0005774409999999999,0.00117177,0.430608,0.47387799999999997
0.0011351,41,elmo.2005,lh.ilf_AS,0.000799212,0.000586348,0.0007720769999999999,0.000631268,0.00114352,0.404405,0.36198400000000003
0.00105704,42,elmo.2005,lh.ilf_AS,0.00079402,0.000596438,0.000773527,0.0006625110000000001,0.00112769,0.38705700000000004,0.29296700000000003
0.00101406,43,elmo.2005,lh.ilf_AS,0.00078868,0.000589538,0.00077109,0.0006759930000000001,0.00113419,0.397439,0.257892
0.00094933,44,elmo.2005,lh.ilf_AS,0.000771195,0.0005641859999999999,0.0007639289999999999,0.000682128,0.00116341,0.433755,0.21943600000000002
0.0010974000000000001,45,elmo.2005,lh.ilf_AS,0.000762243,0.00055246,0.0007698410000000001,0.000594667,0.0012046,0.461976,0.374166
0.00103674,46,elmo.2005,lh.ilf_AS,0.000735121,0.0005599730000000001,0.000785925,0.000584313,0.00123782,0.468401,0.357473
0.00097374,47,elmo.2005,lh.ilf_AS,0.000729945,0.000577198,0.0007967769999999999,0.000608048,0.00123593,0.459366,0.37249899999999997
0.00137476,48,elmo.2005,lh.ilf_AS,0.0008340569999999999,0.0005857999999999999,0.000809644,0.000563706,0.00125733,0.46003900000000003,0.519708
0.00146195,49,elmo.2005,lh.ilf_AS,0.000868226,0.000592017,0.000814774,0.0005713630000000001,0.00126028,0.455104,0.537036
0.00151661,50,elmo.2005,lh.ilf_AS,0.000958785,0.000597045,0.0008150669999999999,0.000679872,0.0012511,0.44796499999999995,0.470497
