tract,subject,pos,FA
3.0,1.0,72.0,0.46
3.0,1.0,73.0,0.47031
3.0,1.0,74.0,0.4795
3.0,1.0,75.0,0.48955
3.0,1.0,76.0,0.49959
3.0,1.0,77.0,0.50716
3.0,1.0,78.0,0.5123
3.0,1.0,79.0,0.51571
3.0,1.0,80.0,0.52024
3.0,1.0,81.0,0.52701
3.0,1.0,82.0,0.53455
3.0,1.0,83.0,0.54118
3.0,1.0,84.0,0.54632
3.0,1.0,85.0,0.54831
3.0,1.0,86.0,0.54697
3.0,1.0,87.0,0.54024
3.0,1.0,88.0,0.52801
3.0,1.0,89.0,0.51321
3.0,1.0,90.0,0.49969
3.0,1.0,91.0,0.48885
3.0,1.0,92.0,0.48168
3.0,1.0,93.0,0.47328
3.0,1.0,94.0,0.45864
3.0,1.0,95.0,0.43509
3.0,1.0,96.0,0.39754
3.0,1.0,97.0,0.34586
3.0,1.0,98.0,0.29789
3.0,1.0,99.0,0.24779
3.0,1.0,100.0,0.14507
4.0,1.0,1.0,0.19535
4.0,1.0,2.0,0.24158
4.0,1.0,3.0,0.28706
4.0,1.0,4.0,0.31353
4.0,1.0,5.0,0.33537
4.0,1.0,6.0,0.36474
4.0,1.0,7.0,0.39848
4.0,1.0,8.0,0.42819
4.0,1.0,9.0,0.44806
4.0,1.0,10.0,0.4605
4.0,1.0,11.0,0.45937
4.0,1.0,12.0,0.44505
4.0,1.0,13.0,0.42583
4.0,1.0,14.0,0.40585
4.0,1.0,15.0,0.3919
4.0,1.0,16.0,0.38841
4.0,1.0,17.0,0.39175
4.0,1.0,18.0,0.40891
4.0,1.0,19.0,0.43572
4.0,1.0,20.0,0.45754
4.0,1.0,21.0,0.47377
4.0,1.0,22.0,0.48671
4.0,1.0,23.0,0.50078
4.0,1.0,24.0,0.51653
4.0,1.0,25.0,0.5333
4.0,1.0,26.0,0.54422
4.0,1.0,27.0,0.54868
4.0,1.0,28.0,0.55311
4.0,1.0,29.0,0.55945
4.0,1.0,30.0,0.56808
4.0,1.0,31.0,0.57699
4.0,1.0,32.0,0.58512
4.0,1.0,33.0,0.59219
4.0,1.0,34.0,0.60011
4.0,1.0,35.0,0.60299
4.0,1.0,36.0,0.59976
4.0,1.0,37.0,0.59512
4.0,1.0,38.0,0.5933
4.0,1.0,39.0,0.59172
4.0,1.0,40.0,0.58847
4.0,1.0,41.0,0.58306
4.0,1.0,42.0,0.57246
4.0,1.0,43.0,0.55984
4.0,1.0,44.0,0.544
4.0,1.0,45.0,0.52553
4.0,1.0,46.0,0.51122
4.0,1.0,47.0,0.50113
4.0,1.0,48.0,0.48962
4.0,1.0,49.0,0.47775
4.0,1.0,50.0,0.46756
4.0,1.0,51.0,0.46156
4.0,1.0,52.0,0.45571
4.0,1.0,53.0,0.44822
4.0,1.0,54.0,0.43765
4.0,1.0,55.0,0.4247
4.0,1.0,56.0,0.41358
4.0,1.0,57.0,0.4056
4.0,1.0,58.0,0.39972
4.0,1.0,59.0,0.39443
4.0,1.0,60.0,0.39216
4.0,1.0,61.0,0.3924
4.0,1.0,62.0,0.39582
4.0,1.0,63.0,0.40143
4.0,1.0,64.0,0.40939
4.0,1.0,65.0,0.41958
4.0,1.0,66.0,0.43213
4.0,1.0,67.0,0.44578
4.0,1.0,68.0,0.46151
4.0,1.0,69.0,0.47651
4.0,1.0,70.0,0.48956
4.0,1.0,71.0,0.50049
4.0,1.0,72.0,0.5082
4.0,1.0,73.0,0.51569
4.0,1.0,74.0,0.52289
4.0,1.0,75.0,0.53209
4.0,1.0,76.0,0.54365
4.0,1.0,77.0,0.55619
4.0,1.0,78.0,0.5696
4.0,1.0,79.0,0.58401
4.0,1.0,80.0,0.59707
4.0,1.0,81.0,0.60565
4.0,1.0,82.0,0.60897
4.0,1.0,83.0,0.60361
4.0,1.0,84.0,0.59148
4.0,1.0,85.0,0.57546
4.0,1.0,86.0,0.56
4.0,1.0,87.0,0.54274
4.0,1.0,88.0,0.52438
4.0,1.0,89.0,0.50136
4.0,1.0,90.0,0.47357
4.0,1.0,91.0,0.44662
4.0,1.0,92.0,0.42439
4.0,1.0,93.0,0.41643
4.0,1.0,94.0,0.41397
4.0,1.0,95.0,0.40856
4.0,1.0,96.0,0.38795
4.0,1.0,97.0,0.34504
4.0,1.0,98.0,0.29882
4.0,1.0,99.0,0.24638
4.0,1.0,100.0,0.15375
5.0,1.0,1.0,0.17933
5.0,1.0,2.0,0.24749
